Property Name,Review Rating,Review Title,ReviewText,Location Of The Reviewer,Date Of Review
"Mandarin Oriental Hyde Park, London",5,The Mandarin Oriental London,"Although under refurbishment, we had the most amazing stay. The staff are very welcoming and make you feel very special. The decor and finer details of the new rooms was stunning! The food (room service and breakfast) was also lovely.",NA,11/28/2017
Corinthia Hotel London,5,Amazing one night stay!,"After a very unpleasant stay at the Lanesborough, we decided to try this hotel for 1 night. We were amazed by the service, the room design and cleanliness, the food and location. We will definitely stay there during our next trip.","Toronto, Ontario, Canada",8/12/2013
Corinthia Hotel London,5,A city resort,"A Hotel? No more. Luxurious? No more. A SPA? No more. This is truly a resort town without any compromise. I stayed in more than 1,000 luxury hotels in the world but never found a service so attentive. Staff were polite and discreet. A perfect evening turn down. Chocolates, water, fruit and orchids are always present in the room. Each request is answered quickly. Definitely the best hotel in all 2011 where I was.",milano,12/21/2011
The Dorchester,5,Toda una Experiencia,"Un lugar con un excelente servicio, llegar a tomar el Té en este hotel es una experiencia inolvidable, las opciones y la atención fue genial. La vista que tiene desde la Suite principal es simplemente Espectacular. | Me Encanto",NA,2/28/2015
The Dorchester,4,Understated class,Had a weekend away from the kids and enjoyed the understate class of one of the best hotels in London. We ate and drank at the hotel too as there did not seem to be any need to leave the sanctuary and luxury. Get a room up as high as possible for the view.,"London, United Kingdom",11/15/2015
The Rembrandt,4,Localização ideal,"Hotel Rembrandt tem boa relação com qualidade e preço e, especialmente a localização. Para quem vai a Londres o Harrold's é fundamental e no entorno o melhor comercio. Tb bons restaurantes , em frente ao Hotel o Victoria e Albert Museum, um pouco depois o de História Natural, talvez mais importante do mundo. A mais tradicional Igreja Católica, com missas aos domingos de hora em hora. E tem na recepção a Sofia , que ê gentil e portuguesa.","Rio de Janeiro, RJ",10/13/2014
Ridgemount Hotel,5,Staff stupendo e b&b perfetto!,"Io e la mia famiglia abbiamo soggiornato un weekend in questo hotel rimanendo soddisfattissime di tutto! Eravamo 6 in una camera nonostante fossimo tante siamo state benissimo anche avendo il bagno sul piano non abbiamo avuto problemi. Inoltre era tutto pulitissimo! | Colazione british da 10! Buonissima! | Lo staff per noi tutte è stato il valore aggiunto di questo hotel, tutti super gentili simpatici disponibili e cordiali. Persone splendide! | Noi tutte e 6 ringraziamo lo staff e consigliamo vivamente il Ridgemount Hotel! | Ps inoltre posizione ottimale per visitare Londra..a 5 min dal British Museum!",firenze,10/12/2015
Mondrian London at Sea Containers,5,New Years Eve,"We stayed for two nights over New Year in a room with a view of the fireworks. We found the hotel and staff to be excellent. Whilst obviously a luxury hotel, the atmosphere and staff are very relaxed although still being professional and attentive. The only constructive criticism would be the limited menu in the Sea Containers restaurant, especially for vegetarians. If you plan a similar trip next year, be aware that you have to ensure you tell the hotel you would like a room with a view of the fireworks (this year it was called the Ultimate View package). River view rooms and the restaurant, bar and Rumpus room (where the New Year's Eve party takes place) do not allow views of the fireworks because the hotel is on the same side of the river where the fireworks are let off.","Surrey, United Kingdom",1/4/2016
Corinthia Hotel London,5,Lovely Corinthia,"Posso afirmar categoricamente que para mim poucos hotéis irão superar a esse. Certamente há mais luxuosos, e este o é bastante,mas luxo não preenche a todos os requisitos que vejo importantes em uma estadia. | A recepção foi acolhedora e confortável, com o quarto já pronto e sem filas no check in. | O hotel possui um time de recepcionistas simpáticos e atenciosos, sendo que o que nos atendeu saiu conosco a nos mostrar os restaurantes e salões, indo até o quarto para terminar a apresentação. Raro. | O quarto muito espaçoso tinha tudo necessário ao conforto, inclusive com televisão na banheira. | Salão de chá, bar do hotel, dois restaurantes, academia e spa:tudo de excelente padrão. | A localização é especial, próximo a Trafalgar Square, Parlamento, Big Ben. E a uma caminhada confortável para Columbus Circus, Soho, Oxford Street e China Town. | Muitos pubs por perto e ótimas opções de restaurantes.",NA,6/12/2017
Ridgemount Hotel,4,"Zentral, gut und guenstig","Das Hotel ist fuer einen London-Besuch ideal gelegen: Zentral um die Stadt zu Fuss zu erkunden (oder zumindest Teile davon) oder auch mit der Underground, fuer die es gleich mehrere Haltestellen verschiedener Linien in der Naehe hat. Das Einzelzimmer war sehr klein und einfach, aber vollstaendig eingerichtet. No frills, aber das was man fuer ein paar Tage zum Uebernachten braucht. Alles super sauber, was ja in Grossbritannien leider nicht immer selbstverstaendlich ist. Gutes typisch englisches gekochtes Fruehstueck. Kaffe und Teee umsonst in der Lounge den ganzen Tag. Sehr freundliche und hilfsbereite Besitzer.",Heidelberg,11/21/2010
Corinthia Hotel London,5,Splendid hotel,"I stayed here recently for 2 nights. The hotel and the customer service was really excellent. Check in was efficiently done by Paolo, who then took me to my room. There was only a Nespresso machine and he asked if I would like to have a kettle as well to make tea, which I did. I asked also for an iron and board. All was brought to the room quickly. The room itself was nicely decorated. The bathroom was very big and had a rain shower and a separate bath tub. As said the service was good, breakfast was also really nice and the bar in the hotel had a wide range of drinks. | I went twice to the gym which is very modern and big. The location of the hotel (Whitehall, close to the Thames and Embankment station ) is fantastic. The only remark I have is that the bed could be a bit longer as for me as a north European is was just a bit too short. | Summarized, a great stay, very helpful staff , so if you have the opportunity to stay here, do it!","Amsterdam, The Netherlands",2/22/2018
The Savoy,4,rooms not ready on time,"My husband and I stayed at this hotel almost a fortnight ago, what a splendid place it is, the surroundings are just wonderful, everywhere you look is opulent and grand. We were only there for one night to attend a ball that was being held there, so decided to treat ourselves to a stay there too. We have attended the event on other occasions but stayed elsewhere before and shall do so again. | You can only imagine how disappointed we were when we arrived at around 2.00pm to be led into a beautiful room but to be told we had stated our eta had been 2.30pm so the room was not ready, however, we thought ok a nice spot of lunch...No...all full up but as the gentleman advised if we just walked outside there were lots of places to eat, but it was cold and we both wanted to go to our room but would happily had we known this would give us a problem reserved somewhere to lunch as our plan was to have room service at lunch time in the room we had booked some considerable time before. They took a telephone number and said they would call us when the room was ready. Strange but we thought if that's the way we do it, so off we went in search of somewhere to eat but almost everywhere was full so we settled on a small café we came across, not what we had hoped for but nevertheless it was warm and the food was simple fayre. After lunch and NO!!! phone call we walked back to the Savoy, this is now 3.00pm later than our eta as they put it??? Still no room, and we asked at reception and they offered us a drink in the American Bar then. I didn't really want a fancy coffee I wanted to go to our room which eventually became ready about 3.45pm and we had to get ready and go down to ball around half six, felt rushed and although the room was pleasant, it was smallish. We found out later that a lot of people who stayed there had the self same problem rooms either hadn't been done from the night before or were not ready. Come on!!! This is the SAVOY not the B&amp;B round the corner, not good enough Savoy, not good enough at least not at the prices you charge which although considerable you wouldn't mind if you got a room in which to spend. | The ball was OK not as good as previous years and I don't know who did the catering but vegetables can be al dente but raw is a problem, no one could get a fork in them, the amount of plates that went back untouched was dreadful. | However, the breakfast was really good, that is about all there is to say so if you fancy breakfast this is a nice place to eat.","willenhall, west mids",12/8/2016
Corinthia Hotel London,5,A hotel to end all hotels,"What a place. Understated, quality, service, food - everything was just right. If I was to choose a hotel for a specail occasion this is it. The food at breakfast was all fresh, and marked with its origin , there was nothing missing. Staff are friendly and on a wet October day just cashually handing me an umrella to keep my wife dry.","Manchester, United Kingdom",12/7/2013
The Rembrandt,2,Not what it used to be,"My family and I stayed at the Rembrandt hotel many times in the late 1980's and early 90's and were delighted with the hotel at the time. We expected to experience the same good service and lovely rooms that we had once experienced when we visited in December 2005. | It was however one problem after another from the moment we arrived. We experienced several problems checking in, mostly due to a lack of knowledge of the hotel rooms by the desk staff as well an inability to understand and communicate efficiently in English. We were shown into a room that was already occupied, had to switch rooms due to construction that the front desk was unaware of and then were given a master key to the hotel (we found out when we accidentally opened the wrong room). We also did not receive phone messages for several days and were given incorrect information by the concierge. We were also treated rudely by a maid who was annoyed that she could not make up our room at 9:00am. We received a response to our complaints after our visit by the head of Sarova hotels which contained many careless spelling mistakes and only offered us a VERY slight upgrade for a future stay. Very disappointing and indicative of the sloppy manner in which this hotel is managed! The only plus is the great location.","Toronto, Ontario",4/11/2006
Rhodes Hotel,4,Perfect for the budget traveler,"My husband and I stayed at the Rhodes Hotel last week for four nights. We decided to save a bit of money this trip and chose the Rhodes Hotel for it's price and the good reviews on this website. We asked for a twin room on a lower floor and that is exactly what we got. The room was behind reception and it was a little noisy at times but not a major issue. To be fair, I don't think they use this room very often as everything in the room was quite dusty at first. Not dirty, just dusty. However, after that first day, the room was spotless. We also requested an early check in which we got. That was extremely helpful. | The hotel is very typical for this price range. Tiny room, miniscule bathroom, etc. But it also had some very good points such as comfy beds, a fantastic location close to two Tube stations that had 5 different lines running through them, a refrigerator in the room which we loved and a great powerful shower with lots of attachments. Never a lack of hot water, either. We really only met Mrs. Crias and she was lovely and very helpful. There is one computer downstairs that I used to check in for our flight home and you print from it for free and it goes to the reception printer. Very handy. My only real gripe is that you are only given one set of keys for the room. One evening I had them and my husband came back to the room early and he had to ask someone to let him. Not an issue but he hated having to bother them. We did not take part in breakfast while we were there as we usually slept in, but there is an awesome little cafe called ""Raffles"" around the corner on Praed Street which does a cheap and plentiful breakfast. we go there every time we are in London, the food is that good. If you happen to miss breakfast at the hotel, go there. | If we decided to go back to London on a reduced budget, we would not hesitate to stay here again. One more thing...the area of Sussex Gardens seems to get a bad rap for no reason. The street was clean, quiet and felt very safe.","Rockaway, New Jersey",3/30/2009
The Savoy,5,pure Class and luxury,I went for a business meeting . I was welcomed with very friendly smiles and first class service . | My evening in the piano lounge was warm and comforting and the aura was superb . I show cased my book there with amazing people .. Out of the Corner is now on the map of the Savoy ..so proud .,NA,3/1/2015
"Mandarin Oriental Hyde Park, London",5,Luxury in London,"I treated my husband to a night at the Mandarin Oriental hotel for our 30th wedding anniversary recently. We were married very young, so received many congratulations and exhortations on how COULD we be married for so long! Very flattering, and undoubtably the staff did their best to ensure we had a great night. | The greeting from the doorman, to the receptionist was charming, and they continued to call us by name on each chance meeting. The room (a basic double) was small but charming. Perfectly ok for one night. The hotel style is 'English country house'. We had a package that included a massage each in the spa, which was lovely but pricey. The staff gave us each a little bag of goodies on hearing about our wedding anniversary. We had a wonderful dinner at Heston' 'Dinner' where the food was superb. The total cost for room, massage and dinner was approx £1600 pounds, and we DONT drink alcohol! Pew were gifted a bottle of champagne, but swapped it for a tonic water each, and were more than happy with this. When we were at dinner the staff decorated our bed with rose petals, a delightful touch. If you want to celebrate in London I WOULD recommend this hotel. A big thank you to the wonderful staff. See you in another 30 years!","London, United Kingdom",6/17/2014
Corinthia Hotel London,4,A mixture of feelings,This was a Christmas gift from a friend for work we had done together. | I've stayed in some wonderful hotels around Europe and a few in London and this was my first time at the renowned Cortinthia London. | Receptionist team where outstanding in explaining everything - a quick tour of the hotel and shown to our delightful room. | We then had the afternoon shopping and back to the hotel to prepare for dinner. | The room was incredible and watching tv in the bath whilst having champagne is a must! | Dinner was in the Massimo restaurant - overall this was outstanding. | So the niggles (and they are only niggles) | I'd sent a shirt to be pressed and had to chase for it's return. | On checkin reception asked when could housekeeping come to turn down the beds - they arrived an hour early when they caught us dressing. | I'd taken the sommeliers advice over the wine I'd had with the meal and it missed my taste requirements by a mile so a £120 bottle didn't get touched bar half a glass. | So many things are chargeable extras and the charges are incredibly high. Example 2 coffees and two mince pies £22 | My nearest comparison would be the Conrad which I've used a number of times. The Corinthia is around double the cost and for me just didn't hit the target quite to the standard I was hoping for. | Would I return again - of course it's great and far better than most. Is it worth double the Conrad - sadly not on this visit.,"Manchester, United Kingdom",11/20/2016
"Mandarin Oriental Hyde Park, London",5,View of the park,"I hadn't stayed at the hotel since its first opening as the Mandarin Oriental quite some time ago and probably wouldn't have returned if I hadn't been going to eat at Dinner by Heston Blumental. We were very pleasantly surprised by our fairly spacious room with a lovely view over the park at the back of the hotel, which was comfortable and most importantly very quiet. The room had French windows which actually open and would be a great choice at any time of year but was really special with the Autumn colours of the trees. | The facilities are as expected in a hotel of the class and size, only niggle (as usual) is the charge for Internet access.",Switzerland,11/24/2012
The Savoy,5,Tea at the Savoy,"Was there 16 years ago and loved the splendor but the newly refurbed Savoy has lost none of the charm and exclusivity while shining in its newly outfitted glory!! The staff are wonderful, the decor befittingly grand and the whole experience is exactly what you expect of a grand old dame like ""the Savoy"". Can't wait to go back.","London, United Kingdom",5/14/2013
The Savoy,5,"So good, had to stay again.","Enjoyed our stay in June at The Savoy so much we had to stay again in September. Lovely, clean rooms not noisy with a comfortable bed. Even though we had the same room category (Deluxe King) the room was a bit different this time. Thought I wouldn't like it as much because it was a bit smaller and bathroom was smaller but turned out to be great. Two nice windows gave it plenty of light in the day yet curtains were sufficient to darken the room at night. If we bent our head toward the side of one of the windows we could see the river. Service is great and they give you your complete privacy.",New York,11/13/2011
Mondrian London at Sea Containers,5,A grandiose experience.,"Having been in London when England were playing Wales and One Direction as well, London was heaving. I had passed this place before and kept it in mind when I was meeting a friend for drinks at nearby Founder's pub. We agreed to find something to eat but open table said no immediate reservations. So discounted it. However passing by it looked quieter then expected and we asked on the off chance Syed said of course come in. We were taken towards the back of the restaurant by the window with a beautiful view of the Thames and St. Paul's. Ground level view of course. We had Andrea from Sicily assigned to us. We chose a Pinot Grigio due to my friends intolerance to red. It was fairly quiet when we sat down and felt in no way pressured to rush ordering. Having not dressed for a night out some restaurants casually deny you. But I felt nothing but appreciating we were been looked after. We ordered a bottle of sparkling and still water as well. Starters were mainly sea orientated. I plumed for tuna crudo and my friend chose the octopus salad. Presentation was simple but stunning. She professed the octopus salad to be the best octopus she's ever had, just the right amount. Presented with forbidden black rice, sobrassada sausage and cucumber.My tuna was weaved with avocado, artichoke and olives. Our glasses were never allowed to run out with Andrea coming across and refilling our glasses. The place was getting busier with bigger parties coming in. A trip to the restrooms I saw the iconic work of Tom Dixon.a beautiful busy open kitchen keys you see how hard they work. We ordered the lamb and the duck both recommended medium rare. Accompanied by side of new potatoes and mushrooms. I have to say when it arrived, the flavours if the meat were sublime. Though the mushrooms were a revelation. I have never tasted mushrooms like this before. The amount just right again and on the top end side at £20 and £24 for a main, we felt the boat was pushed out. Good company, nice wine, great view and a good atmosphere whilst now full more or less, noise was not intrusive to our conversation and finishing off with a espresso. Our meal was drawing to a close, bill duly presented and paid. It was for me been the visitor to London, a reminder if good service and what it's all about. I had thought to myself it reminded me of the Sanderson and St Martins in the lane...I looked later it was part of the group. So if you are about on the Southbank, here is something as a group or couple who would enjoy a good night out and feel well looked after. I look forward to going again.","Northampton, United Kingdom",9/27/2015
Apex London Wall Hotel,5,Excellent hotel,"Fantastic. Central location yet quiet. Clean room, large for a standard room. Comfy bed, large TV. Courteous and helpful staff. Walking distance from Moorgate underground station. Large walk-in shower. Plan to return in the near future !",Timperley,8/6/2013
"Mandarin Oriental Hyde Park, London",5,Super,"Soggirono spesso al Mandarin quando mi trattengo a Londra per lavoro. | L'hotel è situato in posizione strategica a Knightsbridge vicino a Hyde Park e Harrod's, ed è decisamente elegante come struttura e servizi. | Le stanze sono classiche ed impeccabili per dotazione e pulizia, tra i servizi c'è la SPA, il bar ed un ristorante di alto livello (inaccessibile senza prenotazione). | Il servizio è top... a volte sono quasi troppo disponibili! | Super consigliato per un soggiorno di lusso a Londra. | Le tariffe, se non si hanno convenzioni, sono forse eccessive anche per tutto quello (ed è tanto) che il Mandarin offre.","Milan, Italy",12/18/2013
Rhodes Hotel,5,My favourite London Secret,"As a World Traveller with my own Travel Blog and frequent trips to London, once discovering the Rhodes Hotel, I would not think of staying anywhere else! It is truly my top pick for a boutique, clean, friendly and conveniently located hotel. The staff are always professional and friendly. They remember me each time I return which says alot. They also take to heart any special requests I make regarding room location and much more. | The rooms are clean with new furnishings, the wi-fi works like a dream, and their breakfast room cozy and comfortable offering anything from Continental to full English breakfasts. In addition, their location is perfect, only a few minutes walk from Paddington Station where I always arrive on the Heathrow Express following my international flight. It is also a few blocks from Hyde Park where I enjoy peaceful strolls. For shopping both Oxford High St as well as Kensington High Streets are not far away. My favourite pub, The Victoria, is just around the corner, and is a true local's pub, serving up delicious food and beverages. | I highly recommend the Rhodes Hotel to all those wanting top notch budget accommodation in the heart of London.","Telluride, CO",12/15/2016
Mondrian London at Sea Containers,5,Great Hotel!,"I stayed at the Mondrian with my sisters and a friend for a long weekend and we were all really impressed with the hotel! It had a really cool vibe and really friendly and helpful staff. The buffet breakfast was really good and we had lunch outside next to the river which was a great location plus the food was excellent. It was so nice to sit outside and have lunch in such a chilled atmosphere which was a contrast to the usual hustle and bustle of London. | The room was really big, as was the bathroom. Plenty of room for four of us! We didn't have a view but we weren't too bothered as we didn't spend much time in the room anyway. | Loved the candle and room spray touch, I really wish I'd bought the candle now! | Black Friars Station was only a short walk away and Borough Market was also walking distance so a great location for getting around different locations in London. | I would definitely stay at this hotel again!",NA,5/8/2016
The Rembrandt,5,Charming hotel,"This is the third time I have stayed at the rembrandt. The hotel has gone thru some upgrades as in adding Wi-Fi to all the rooms. We had a street room with a lovely view and did not hear any traffic. We love the breakfast, the front desk, location and overall charm of this wonderfully located hotel. Strongly recommend a stay here.",NA,10/16/2016
The Savoy,5,They've got it just right,"Stayed at the Savoy for two nights a little while back and was most impressed. I've been fortunate to stay in several top-notch London hotels as well as one or two less 'well known', for my money The Savoy is the best hotel experience in London. | I arrived by black cab to be greeted by the doorman, he asked if I was checking in and promptly whisked my bags away. Into the beautiful lobby area which is at first quite small and into the 'check in room', they don't have desks instead opting for a seated check-in. I was shown to my deluxe room which was beautifully appointed. As I am sure everyone knows, this hotel has had a major refurbishment but they've retained the charm of the hotel whilst bringing it into this millennium! My room was spacious as was the bathroom which I swear was as big as the bedroom itself, albeit accessed by a very narrow door - quite a bizarre set-up but rather charming. | Location of the hotel is spot-on, right in the heart of theatre land, and the staff like most Fairmont trained staff are there to serve and get it just right, none of the pomp and ceremony you get from some other 'Ritzy' establishments, just a common sense approach to making your stay a welcome one. | Breakfast in the River Restaurant is excellent, albeit I found the service a little 'too much', perhaps one becomes accustomed to a lack of service sometimes. Had a couple of drinks both in the lobby and in the incredibly chintzy Beaufort Bar, the cocktails are excellent and priced at what you'd expect for this calibre of hotel, and the beds are amazingly comfortable. | There was little I could fault The Savoy on to be honest, everything during my stay was fantastic, I'm looking forward to returning.","Dundee, United Kingdom",11/25/2012
Mondrian London at Sea Containers,5,#JustAwesome,"Firstly, I'm a fan of Morgans group of hotels and was really excited that I was about to spend a few days checking out their latest hotel in London. Booked online and price was reasonable based on two sharing a room and stayed for three nights in total. The conceirge team were the best I have ever encountered at a hotel and helped with arranging key parts of my trip with awesome recommendations and reserversations for a number of great restaurants and venues around London. Very helpful and super quick. Took the stress out of London for sure! | Room was great and loved the goodies - the fortune cookie was fab :-) | Bathroom was clean, lots of space and great products for guests. | Top floor bar with a lovely view of London was great fun. A bit over priced for the drinks (saw this on another review and agree) and glasses are way too small! If bar staff were a bit more attentive rather than chatting up the girls that would be apprecaited as we waited over 15 mins to get served at the bar... not fun! | Overally, hotel was great and would recommend to all my friends and family.","London, United Kingdom",5/4/2015
The Rembrandt,4,Bra',Ett hotell i London som både är prisvärt och bra! Trevlig personal! Bra läge i en bra del av London! Nära till tunnelbana och Victoria station! Bra och god frukost! | Ingen toalettborste på toaletten! Lite jobbigt om man är tre i ett rum!! |,"Landskrona, Sweden",1/7/2017
The Savoy,5,Muy buen hotel,"The Savoy: es el mejor hotel que haya ido en my vida. | Te tratan muy bien, los cuartos están excelentes. El edificio está decorado muy bonito. Tienes internet si lo pagas.Tiene una tienda de chocolates, macarones, cupcackes, etc. También tiene un restaurante que se llama Savoy Grill, muy bueno solo que es caro, y además es del chef Ramsay. El hotel esta muy bueno.","Mexico City, Mexico",8/19/2014
The Savoy,5,Definitely worth the treat.,"Yes it isn't cheap but a stay at The Savoy is really worth it for a special treat. We booked dinner, bed and breakfast and were then able to pay a little more to upgrade to the next room level. | Everything was perfect, room, service, food, we would come again.","Battle, United Kingdom",5/27/2015
"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",5,A gem in London town,"I stayed at The Wellesley in July 2014 for two nights and, based on that experience, was wowed. On check-in, my wife and I were asked if we would like to upgrade to a suite for a nominal fee. We accepted, and in doing so, transformed our experience. | The staff: we arrived fairly early from Dublin (where we had stayed the previous several days) and were rushing to Nottinham for a family event. The staff was very accommodating, allowing us early check-in to our room and giving us the option of morning tea (though we were not told that we would be charged for the tea). Our butler was amazing; on our return from Nottingham late that night, our luggage was unpacked and neatly placed on the shelves (I was just glad that my dirty laundry was in a separate, clearly identified area). She was also instrumental in getting our formal clothes ready in record time - this more than helped us to overlook the tea incident. As an icing to an incredible staff experience, we were also given a courtesy ride to Novikov (to have dinner with friends) in The Wellesley's Rolls-Royce house car - I beamed. | The room: we were given the Ella Fitzgerald suite (so I am unable to comment on the standard room). The room was amazing, and I was almost overwhelmed by the attention to detail and luxury that it exuded. The bathroom presentation was exquisite (Hermes toiletries and heated flooring helps in this regard) and the bed was fairly comfortable. | I wish we had more time to spend at the Wellesley, but home beckoned and we had to bid adieu. It will remain one of my top choices for hotels in London for my next visit.","Jersey City, New Jersey",8/26/2014
The Savoy,5,Amazing experience,"From the moment we pulled up to the door to the minute we regrettably left the Savoy we had a perfect experience. The staff is gracious, professional and friendly. Our room was absolutely lovely. Very well maintained and very spacious with a lovely sitting room. Air-conditioning worked perfectly (very important to my husband). Bathroom was well appointed with very nice amenities. Service was excellent at every level. The common areas are beautiful and the history of the Savoy is something not to be missed. We can't wait to return.","New York City, New York",7/31/2014
"Hotel Xenia, Autograph Collection",5,Brilliant Hotel!,"A brilliant hotel, with fantastic staff and exceptional service. My husband and I would most definitely come again! Very clean and in an ideal location, only a few minutes walk from Earls Court station. The food in the restaurant was to a very high standard, would reccomend even going there for dinner. The hotel did not have the usual busy, chaotic atmosphere that we have experienced in hotels before. We hope to be back soon",NA,5/26/2015
Corinthia Hotel London,5,Perfection,"We stayed at Corinthia for a mini break and the hotel is perfection itself. Everything from the check in to check out is performed with perfection. The staff are extremely helpful and can't do enough for you. The room was everything you'd expect and more at this price range, good size, great shower with both rainbow and hand held options, good tv options and even a tv in the bathroom. We had cocktails in the evening before going out to dinner and again the suggestions were spot on. To top it off we had breakfast in the bedroom which was, for want of a better word, perfect. We popped into the spa area for a bit too which really is an oasis of tranquility in central London. The hotel is well located, 2 mins walk from tube and Thames clipper stops and 4 mins from a train station. We shopped, ate out in town and still came away completely relaxed and that doesn't often happen on a City break.",Kent,5/3/2017
"Hotel Xenia, Autograph Collection",3,Small Rooms,Nice property and super helpful staff. The location is also good - you can take the tube from Heathrow. The stop is just a couple blocks from the Earl's Court station. The rooms are very small however.,NA,2/24/2017
The Rembrandt,3,Apenas Razoável,"Como tudo em Londres, é caro para o que oferece. Talvez por causa da conversão da moeda, o fato é que o hotel é bem localizado e os funcionários são atenciosos. Contudo, o tamanho dos quartos e dos banheiros não são compatíveis com o preço. O café da manhã também poderia ser melhor para um hotel 4 estrelas.",NA,7/27/2013
The Savoy,5,Absolutely Fan-tas-tic!,"Wonderful environment/decor/facilities...top location with great views from some suites and rooms. Just the best! Very discrete but attentive service provides just the right balance. Exceptional cleanliness, great staff...I could go on but you get the picture...The Savoy is in a class of its own.","Cardiff, United Kingdom",6/19/2013
